name,federalState,latitude,longitude,type,segment,platforms,stationManagement,controlCenter,operator,operatorShort,regionalSector,delay,pureDelayNum,punctuality,pureDelay,handledTrains
Lüneburg,Niedersachsen,53.249656,10.41989,Knotenbahnhof,Regionaler Knoten,6.0,Hamburg,Hamburg Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,0.07523,1279,0.47987,0.14464,2459
Mainz Hbf,Rheinland-Pfalz,50.001117,8.25872,Knotenbahnhof,Großstadtknoten,14.0,Mainz,Mainz Hbf,zweckverband-schienenpersonennahverkehr-rheinland-pfalz-sud,ZPNV Süd,RB Mitte,-0.1058,1566,0.44586,-0.19093,2826
Mannheim Hbf,Baden-Württemberg,49.479354,8.468921,Metropolbahnhof,Metropolbahnhof,11.0,Mannheim,Mannheim Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-0.13261,4612,0.25685,-0.17845,6206
Memmingen,Bayern,47.985581,10.186853,Knotenbahnhof,Regionaler Knoten,5.0,Augsburg,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,1.125,108,0.1,1.25,120
Wiesbaden Hbf,Hessen,50.070791,8.243731,Knotenbahnhof,Großstadtknoten,10.0,Darmstadt,Frankfurt (Main) Hbf,rhein-main-verkehrsverbund-gmbh,RMV,RB Mitte,-2.48706,273,0.55825,-5.63004,618
Witten Hbf,Nordrhein-Westfalen,51.435544,7.329442,Knotenbahnhof,Regionaler Knoten,4.0,Essen,Essen Hbf,zweckverband-verkehrsverbund-rhein-ruhr-aor,VRR,RB West,-0.47595,448,0.23024,-0.6183,582
Minden (Westf),Nordrhein-Westfalen,52.290138,8.934728,Knotenbahnhof,Regionaler Knoten,5.0,Bielefeld,Dortmund Hbf,zweckverband-nahverkehr-westfalen-lippe,NWL,RB West,0.21359,1536,0.37864,0.34375,2472
Mönchengladbach Hbf,Nordrhein-Westfalen,51.196583,6.446111,Knotenbahnhof,Großstadtknoten,9.0,Düsseldorf,Duisburg Hbf,zweckverband-verkehrsverbund-rhein-ruhr-aor,VRR,RB West,-1.7193,134,0.41228,-2.92537,228
Worms Hbf,Rheinland-Pfalz,49.63494,8.356448,Knotenbahnhof,Regionaler Knoten,8.0,Mainz,Mainz Hbf,zweckverband-schienenpersonennahverkehr-rheinland-pfalz-sud,ZPNV Süd,RB Mitte,-0.08163,60,0.79592,-0.4,294
Mülheim (Ruhr) Hbf,Nordrhein-Westfalen,51.431342,6.88651,Knotenbahnhof,Großstadtknoten,4.0,Duisburg,Duisburg Hbf,zweckverband-verkehrsverbund-rhein-ruhr-aor,VRR,RB West,-0.03046,206,0.47716,-0.05825,394
Würzburg Hbf,Bayern,49.801796,9.93578,Knotenbahnhof,Großstadtknoten,11.0,Nordfranken,Würzburg Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,0.19725,3830,0.22517,0.25457,4943
München Hbf,Bayern,48.140232,11.558335,Metropolbahnhof,Metropolbahnhof,34.0,München,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-4.80074,8122,0.33317,-7.19934,12180
München Ost,Bayern,48.12744,11.604971,Knotenbahnhof,Großstadtknoten,12.0,München,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,0.07592,61,0.84031,0.47541,382
Münster (Westf) Hbf,Nordrhein-Westfalen,51.956566,7.635715,Knotenbahnhof,Großstadtknoten,9.0,Münster (Westf),Essen Hbf,zweckverband-nahverkehr-westfalen-lippe,NWL,RB West,-0.44996,3281,0.22745,-0.58244,4247
Wuppertal Hbf,Nordrhein-Westfalen,51.254363,7.149543,Knotenbahnhof,Großstadtknoten,5.0,Düsseldorf,Düsseldorf Hbf,zweckverband-verkehrsverbund-rhein-ruhr-aor,VRR,RB West,-0.01521,3255,0.37344,-0.02427,5195
Neumünster,Schleswig-Holstein,54.075752,9.979816,Knotenbahnhof,Regionaler Knoten,6.0,Schleswig-Holstein,Kiel Hbf,nahverkehrsverbund-schleswig-holstein-gmbh,NAH.SH,RB Nord,-0.29614,158,0.66094,-0.87342,466
Neuss Hbf,Nordrhein-Westfalen,51.204351,6.684527,Knotenbahnhof,Großstadtknoten,8.0,Düsseldorf,Duisburg Hbf,zweckverband-verkehrsverbund-rhein-ruhr-aor,VRR,RB West,-0.23333,43,0.28333,-0.32558,60
Neustadt (Weinstr) Hbf,Rheinland-Pfalz,49.349553,8.140757,Knotenbahnhof,Regionaler Knoten,6.0,Kaiserslautern,Saarbrücken Hbf,zweckverband-schienenpersonennahverkehr-rheinland-pfalz-sud,ZPNV Süd,RB Mitte,0.05628,119,0.48485,0.10924,231
Nienburg (Weser),Niedersachsen,52.645566,9.217753,Knotenbahnhof,Regionaler Knoten,6.0,Hannover,Hannover Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,-0.26473,858,0.24538,-0.35082,1137
Nürnberg Hbf,Bayern,49.445616,11.082989,Metropolbahnhof,Metropolbahnhof,21.0,Nürnberg,Nürnberg Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-0.26093,7689,0.17641,-0.31682,9336
Oberhausen Hbf,Nordrhein-Westfalen,51.474878,6.851588,Knotenbahnhof,Großstadtknoten,10.0,Duisburg,Duisburg Hbf,zweckverband-verkehrsverbund-rhein-ruhr-aor,VRR,RB West,-0.1623,828,0.62568,-0.43357,2212
Offenburg,Baden-Württemberg,48.476475,7.946723,Knotenbahnhof,Regionaler Knoten,7.0,Freiburg,Freiburg (Breisgau) Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-0.13738,77,0.75399,-0.55844,313
Oldenburg (Oldb) Hbf,Niedersachsen,53.144323,8.222713,Knotenbahnhof,Großstadtknoten,7.0,Bremen / Osnabrück,Bremen Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,-2.05694,1039,0.1668,-2.46872,1247
Osnabrück Hbf,Niedersachsen,52.272851,8.061781,Knotenbahnhof,Großstadtknoten,9.0,Bremen / Osnabrück,Bremen Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,0.32777,1911,0.24076,0.43171,2517
Paderborn Hbf,Nordrhein-Westfalen,51.712979,8.740505,Knotenbahnhof,Regionaler Knoten,6.0,Bielefeld,Dortmund Hbf,zweckverband-nahverkehr-westfalen-lippe,NWL,RB West,-0.37584,282,0.05369,-0.39716,298
